551,-331,245
544,-331,237
542,-329,238
538,-325,232
538,-326,230
539,-330,224
539,-322,215
535,-315,210
529,-324,200
515,-329,200
507,-348,205
517,-343,205
529,-335,205
527,-337,196
515,-342,180
505,-340,174
507,-334,169
490,-332,163
479,-341,160
474,-354,156
478,-353,153
476,-351,149
477,-350,140
470,-345,135
460,-352,127
454,-348,123
457,-342,115
449,-344,112
444,-345,104
443,-350,102
444,-353,99
443,-351,90
440,-345,88
434,-346,87
426,-348,79
423,-349,79
427,-343,67
418,-343,69
419,-341,66
413,-339,62
414,-344,58
414,-340,54
416,-344,52
418,-346,45
423,-344,53
1400,-5033,373
5774,-2671,837
93,7280,38
-2816,3436,295
1144,-5986,-167
-1081,-1991,-905
-1148,1633,583
4772,-4322,1265
8184,-4905,2823
1376,5134,-1984
-8192,6547,-2937
-4689,-3382,360
5230,-5534,1146
3182,1071,341
-1486,3275,-58
-520,-2001,1371
7925,-7186,2144
782,1992,-3344
-8192,6810,-1582
-3302,-1005,945
4794,-7213,283
3150,-3778,-138
-313,6691,1034
1214,4843,1822
1354,-4935,-1644
-4798,2432,-1514
-2929,2929,658
1542,-404,285
-660,-3185,737
6027,-4433,2247
4097,-472,-446
546,-633,-281
-88,1755,-1059
-4479,6870,-1613
-2453,434,408
3092,-6218,1632
2350,-1884,-54
-1921,4113,-661
-799,621,1471
5302,-7647,1450
6150,-5766,734
-177,2379,-1281
-7824,8191,-4141
-5973,3988,-1223
2278,-4918,2607
6343,-8184,1116
1250,-2621,-688
-770,6168,257
2013,5797,753
3238,-1922,1508
2782,-6868,68
-3172,-980,-2037
-4708,5052,-1898
-1650,2103,438
2636,-2148,1226
667,-3199,1153
4899,-5785,2505
4663,-1762,-120
-518,4316,-1350
-208,157,893
2346,-4682,375
-3448,3323,-3369
-6103,7951,-1984
-1587,340,956
5317,-7037,3200
4713,-6047,216
-180,2420,-250
15,3702,529
912,-933,191
379,-2293,431
1291,-1989,1003
549,-1490,-530
-2229,2499,-1631
-1413,4087,-903
-372,-446,435
2008,-2997,1800
1971,-1031,412
-696,825,494
3559,-3667,2799
4945,-5673,1260
625,512,-1063
-2934,5082,-2058
-292,891,1092
3532,-6006,2120
3126,-3846,933
-678,1958,-1122
-4650,5806,-2970
-6263,7467,-2584
-1361,440,158
3370,-4180,2006
4768,-4491,2799
1166,-2060,137
-640,-3389,-71
2147,-4087,2196
2864,-754,1011
2465,-31,695
1222,-183,436
-87,719,-493
-843,2165,-782
-1303,2876,-1053
373,-89,734
1710,-3110,1722
